"ym","cd","csd","csdname","cases","recips","depchld"
"199502","26","005","Comox",357,706,294
"199502","26","010","Courtenay",2350,4519,1808
"199502","27","008","Powell River",1079,1927,688
"199502","29","011","Sechelt",646,1137,418
"199502","31","006","Squamish",635,1214,502
"199502","33","042","Kamloops",6020,10700,3932
"199502","35","010","Kelowna",5250,9578,3662
"199502","35","029","West Kelowna",692,1491,672
"199502","35","802","Tsinstikeptum 9",283,556,223
"199502","37","014","Vernon",2625,4779,1816
"199502","37","028","Armstrong",395,790,328
"199502","39","032","Salmon Arm",665,1268,495
"199502","41","005","One Hundred Mile House",485,948,388
"199502","41","009","Williams Lake",994,1849,735
"199502","41","013","Quesnel",1078,2017,778
"199502","43","023","Port Hardy",392,758,306
"199502","47","012","Prince Rupert",1379,2701,1094
"199502","49","005","Kitimat",491,919,376
"199502","49","011","Terrace",1008,2033,858
"199502","51","007","Vanderhoof",296,592,249
"199502","51","043","Smithers",325,595,232
"199502","53","023","Prince George",6261,11329,4474
"199502","55","014","Dawson Creek",1114,2064,833
"199502","55","034","Fort St. John",800,1546,665
"199503","01","022","Cranbrook",1478,2779,1091
"199503","03","004","Creston",430,804,296
"199503","03","015","Nelson",892,1475,505
"199503","03","045","Castlegar",398,755,297
"199503","03","052","Central Kootenay H",410,753,273
"199503","05","014","Trail",597,1065,391
"199503","05","032","Grand Forks",394,736,281
"199503","07","014","Oliver",393,722,253
"199503","07","035","Summerland",355,731,311
"199503","07","041","Penticton",2290,4046,1469
"199503","07","055","Okanagan-Similkameen H",817,1497,531
"199503","09","009","Hope",621,1071,364
"199503","09","020","Chilliwack",3582,6873,2804
"199503","09","052","Abbotsford",4697,8917,3582
"199503","09","056","Mission",2030,4022,1704
"199503","15","001","Langley Township",2138,3842,1485
"199503","15","002","Langley City",1468,2724,1091
"199503","15","004","Surrey",18405,33365,12671
"199503","15","007","White Rock",764,1082,266
"199503","15","011","Delta",2486,4365,1635
"199503","15","015","Richmond",4152,7292,2630
"199503","15","022","Vancouver",45663,64576,15370
"199503","15","025","Burnaby",9693,15811,5069
"199503","15","029","New Westminster",4681,6641,1542
"199503","15","034","Coquitlam",3793,6923,2623
"199503","15","039","Port Coquitlam",2158,3915,1522
"199503","15","043","Port Moody",688,1269,509
"199503","15","046","North Vancouver DM",1602,2698,939
"199503","15","051","North Vancouver City",2473,3890,1128
"199503","15","055","West Vancouver",359,494,109
"199503","15","070","Pitt Meadows",446,872,378
"199503","15","075","Maple Ridge",2963,5307,1981
"199503","17","010","Sidney",398,725,268
"199503","17","015","Central Saanich",250,461,178
"199503","17","021","Saanich",4045,6652,2239
"199503","17","027","Saltspring Island",421,786,313
"199503","17","034","Victoria",8029,11437,2807
"199503","17","040","Esquimalt",1806,3007,994
"199503","17","041","Colwood",394,759,315
"199503","17","044","Langford",892,1718,715
"199503","17","047","View Royal",359,657,261
"199503","17","052","Sooke",633,1258,517
"199503","19","008","North Cowichan",1761,3433,1393
"199503","19","012","Duncan",545,1001,392
"199503","19","016","Lake Cowichan",370,801,355
"199503","21","007","Nanaimo",6769,12171,4544
"199503","21","010","Nanaimo A",326,532,163
"199503","21","018","Parksville",665,1201,441
"199503","21","032","Nanaimo F",441,790,271
"199503","23","008","Port Alberni",2003,3807,1502
"199503","24","034","Campbell River",1979,3742,1523
"199503","26","005","Comox",366,701,290
"199503","26","010","Courtenay",2379,4592,1842
"199503","27","008","Powell River",1060,1872,664
"199503","29","011","Sechelt",655,1149,422
"199503","31","006","Squamish",618,1171,479
"199503","33","042","Kamloops",6151,10944,4045
"199503","35","010","Kelowna",5330,9703,3694
"199503","35","029","West Kelowna",700,1519,696
"199503","35","802","Tsinstikeptum 9",283,561,231
"199503","37","014","Vernon",2670,4858,1842
"199503","37","028","Armstrong",394,793,333
"199503","39","032","Salmon Arm",672,1279,497
"199503","41","005","One Hundred Mile House",501,985,398
"199503","41","009","Williams Lake",992,1847,725
"199503","41","013","Quesnel",1061,1977,764
"199503","43","023","Port Hardy",391,759,316
"199503","47","012","Prince Rupert",1356,2630,1048
"199503","49","005","Kitimat",504,940,382
"199503","49","011","Terrace",1023,2074,884
"199503","51","007","Vanderhoof",290,581,248
"199503","51","043","Smithers",345,620,238
"199503","53","023","Prince George",6359,11526,4547
"199503","55","014","Dawson Creek",1086,1998,804
"199503","55","034","Fort St. John",769,1506,646
"199504","01","022","Cranbrook",1464,2740,1075
"199504","03","004","Creston",421,788,290
"199504","03","015","Nelson",890,1460,494
"199504","03","045","Castlegar",384,724,287
"199504","03","052","Central Kootenay H",418,789,295
"199504","05","014","Trail",592,1061,391
"199504","05","032","Grand Forks",397,736,278
"199504","07","014","Oliver",394,726,258
"199504","07","035","Summerland",354,724,308
"199504","07","041","Penticton",2295,4071,1496
"199504","07","055","Okanagan-Similkameen H",791,1474,528
"199504","09","009","Hope",622,1080,377
"199504","09","020","Chilliwack",3552,6818,2782
"199504","09","052","Abbotsford",4674,8885,3593
"199504","09","056","Mission",2012,4005,1701
"199504","15","001","Langley Township",2112,3768,1445
"199504","15","002","Langley City",1449,2697,1084
"199504","15","004","Surrey",18102,33013,12627
"199504","15","007","White Rock",729,1038,260
"199504","15","011","Delta",2437,4323,1636
"199504","15","015","Richmond",4092,7243,2632
"199504","15","022","Vancouver",45339,64442,15541
"199504","15","025","Burnaby",9563,15650,5042
"199504","15","029","New Westminster",4610,6528,1511
"199504","15","034","Coquitlam",3758,6871,2600
"199504","15","039","Port Coquitlam",2167,3945,1537
"199504","15","043","Port Moody",670,1239,498
"199504","15","046","North Vancouver DM",1551,2594,901
"199504","15","051","North Vancouver City",2435,3840,1130
"199504","15","055","West Vancouver",338,468,107
"199504","15","070","Pitt Meadows",441,857,373
"199504","15","075","Maple Ridge",2925,5260,1991
"199504","17","010","Sidney",408,731,267
"199504","17","015","Central Saanich",248,460,181
"199504","17","021","Saanich",4026,6601,2215
"199504","17","027","Saltspring Island",430,819,332
"199504","17","034","Victoria",7933,11343,2816
"199504","17","040","Esquimalt",1724,2887,973
"199504","17","041","Colwood",393,764,319
"199504","17","044","Langford",865,1670,703
"199504","17","047","View Royal",351,636,252
"199504","17","052","Sooke",636,1260,523
"199504","19","008","North Cowichan",1718,3348,1357
"199504","19","012","Duncan",537,977,384
"199504","19","016","Lake Cowichan",365,796,356
"199504","21","007","Nanaimo",6742,12119,4523
"199504","21","010","Nanaimo A",306,506,158
"199504","21","018","Parksville",671,1195,436
"199504","21","032","Nanaimo F",421,766,268
"199504","23","008","Port Alberni",1974,3757,1475
"199504","24","034","Campbell River",1939,3660,1478
"199504","26","005","Comox",369,714,297
"199504","26","010","Courtenay",2313,4474,1817
"199504","27","008","Powell River",1062,1864,658
"199504","29","011","Sechelt",639,1116,413
"199504","31","006","Squamish",595,1148,475
"199504","33","042","Kamloops",6115,10824,3981
"199504","35","010","Kelowna",5270,9601,3674
"199504","35","029","West Kelowna",690,1477,678
"199504","35","802","Tsinstikeptum 9",273,534,219
"199504","37","014","Vernon",2662,4843,1856
"199504","37","028","Armstrong",384,788,343
"199504","39","032","Salmon Arm",679,1273,489
"199504","41","005","One Hundred Mile House",495,970,392
"199504","41","009","Williams Lake",952,1798,719
"199504","41","013","Quesnel",1050,1976,773
"199504","43","023","Port Hardy",382,728,302
"199504","47","012","Prince Rupert",1304,2526,1017
"199504","49","005","Kitimat",500,930,376
"199504","49","011","Terrace",990,1995,844
"199504","51","007","Vanderhoof",288,589,250
"199504","51","043","Smithers",351,620,232
"199504","53","023","Prince George",6427,11625,4569
"199504","55","014","Dawson Creek",1106,2027,806
"199504","55","034","Fort St. John",767,1505,649
"199505","01","022","Cranbrook",1505,2808,1096
"199505","03","004","Creston",428,803,307
"199505","03","015","Nelson",887,1475,519
"199505","03","045","Castlegar",385,731,296
"199505","03","052","Central Kootenay H",416,781,293
"199505","05","014","Trail",575,1017,377
"199505","05","032","Grand Forks",397,742,281
"199505","07","014","Oliver",406,740,259
"199505","07","035","Summerland",346,706,299
"199505","07","041","Penticton",2266,4024,1477
"199505","07","055","Okanagan-Similkameen H",751,1379,485
"199505","09","009","Hope",604,1049,364
"199505","09","020","Chilliwack",3612,6894,2789
"199505","09","052","Abbotsford",4676,8886,3590
"199505","09","056","Mission",2015,3993,1683
"199505","15","001","Langley Township",2096,3718,1408
"199505","15","002","Langley City",1435,2685,1096
"199505","15","004","Surrey",18151,33107,12677
"199505","15","007","White Rock",718,1022,255
"199505","15","011","Delta",2448,4344,1648
"199505","15","015","Richmond",4069,7200,2615
"199505","15","022","Vancouver",45684,64798,15547
"199505","15","025","Burnaby",9548,15626,5038
"199505","15","029","New Westminster",4565,6454,1498
"199505","15","034","Coquitlam",3748,6810,2568
"199505","15","039","Port Coquitlam",2177,3941,1531
"199505","15","043","Port Moody",642,1225,507
"199505","15","046","North Vancouver DM",1553,2605,913
"199505","15","051","North Vancouver City",2454,3884,1150
"199505","15","055","West Vancouver",337,463,104
"199505","15","070","Pitt Meadows",427,847,380
"199505","15","075","Maple Ridge",2887,5159,1938
"199505","17","010","Sidney",401,730,273
"199505","17","015","Central Saanich",252,450,173
"199505","17","021","Saanich",4014,6628,2258
"199505","17","027","Saltspring Island",419,787,320
"199505","17","034","Victoria",7938,11319,2793
"199505","17","040","Esquimalt",1695,2833,951
"199505","17","041","Colwood",385,752,313
"199505","17","044","Langford",867,1659,693
"199505","17","047","View Royal",342,620,245
"199505","17","052","Sooke",632,1246,515
"199505","19","008","North Cowichan",1676,3282,1340
"199505","19","012","Duncan",533,966,376
"199505","19","016","Lake Cowichan",374,813,361
"199505","21","007","Nanaimo",6728,12004,4472
"199505","21","010","Nanaimo A",296,501,163
"199505","21","018","Parksville",655,1154,417
"199505","21","032","Nanaimo F",407,720,244
"199505","23","008","Port Alberni",1929,3686,1462
"199505","24","034","Campbell River",1938,3632,1459
"199505","26","005","Comox",390,740,305
"199505","26","010","Courtenay",2293,4391,1766
"199505","27","008","Powell River",1039,1818,637
"199505","29","011","Sechelt",623,1093,407
"199505","31","006","Squamish",601,1152,476
"199505","33","042","Kamloops",6152,10810,3958
"199505","35","010","Kelowna",5240,9537,3641
"199505","35","029","West Kelowna",667,1422,655
"199505","35","802","Tsinstikeptum 9",269,543,226
"199505","37","014","Vernon",2660,4844,1844
"199505","37","028","Armstrong",381,782,339
"199505","39","032","Salmon Arm",678,1250,474
