"cmaca","year","cases","recips","depchld"
"944",1995,25794,48720,19750
"944",1996,24701,46190,18467
"944",1997,23102,42358,16456
"944",1998,22385,40763,15496
"944",1999,22373,39539,14452
"944",2000,22269,38231,13459
"944",2001,22013,37629,13164
"944",2002,19213,32144,10911
"944",2003,15832,25420,8051
"944",2004,14748,22764,6650
"944",2005,13918,21209,6023
"944",2006,12716,19030,5116
"944",2007,12917,18966,4763
"944",2008,13520,19378,4721
"944",2009,16615,23782,5894
"944",2010,18256,26132,6530
"944",2011,18243,25862,6263
"944",2012,18184,25436,6036
"944",2013,18581,26037,6260
"944",2014,18834,25950,5866
"944",2015,19284,26355,5906
"944",2016,20360,28336,6695
"944",2017,20892,29460,7333
"944",2018,21735,30532,7663
"944",2019,22718,31822,7946
"944",2020,23806,32953,8003
"944",2021,24063,33035,7970
"944",2022,25258,34358,8053
"944",2023,26165,35894,8634
"944",2024,26807,36537,8657
"944",2025,9222,12495,2903
